s	isFemale
HG00096	false
HG00099	true
HG00105	false
HG00118	true
HG00129	false
HG00148	false
HG00254	true
HG00265	false
HG00271	false
HG00332	true
HG00335	false
HG00369	false
HG00421	false
HG00452	true
HG00472	false
HG00534	true
HG00583	false
HG00598	false
HG00623	true
HG00733	true
HG00881	false
HG01075	false
HG01164	false
HG01241	false
HG01248	true
HG01256	false
HG01275	true
HG01284	true
HG01348	true
HG01396	true
HG01443	false
HG01491	false
HG01537	true
HG01572	true
HG01623	true
HG01630	false
HG01783	false
HG01784	true
HG01790	true
HG01799	true
HG01801	true
HG01806	true
HG01812	true
HG01813	true
HG01817	true
HG01848	true
HG01849	false
HG01863	true
HG01874	true
HG01915	true
HG01924	true
HG01965	true
HG01970	false
HG01991	false
HG02010	true
HG02020	false
HG02054	true
HG02086	true
HG02087	true
HG02116	false
HG02122	false
HG02152	true
HG02154	true
HG02165	true
HG02232	true
HG02236	false
HG02250	false
HG02259	false
HG02298	true
HG02318	true
HG02345	true
HG02351	false
HG02363	false
HG02373	false
HG02383	false
HG02384	false
HG02386	false
HG02388	false
HG02389	false
HG02397	false
HG02419	true
HG02462	true
HG02464	false
HG02497	true
HG02511	true
HG02521	false
HG02561	false
HG02574	true
HG02580	true
HG02595	true
HG02603	false
HG02629	true
HG02651	false
HG02682	true
HG02688	true
HG02690	false
HG02699	false
HG02760	true
HG02768	false
HG02771	false
HG02792	false
HG02798	false
HG02811	true
HG02814	true
HG02840	true
HG02870	true
HG02881	false
HG02970	true
HG02973	false
HG03009	false
HG03046	true
HG03074	false
HG03091	true
HG03105	true
HG03127	false
HG03193	false
HG03224	false
HG03237	false
HG03241	true
HG03247	true
HG03259	true
HG03267	true
HG03354	true
HG03366	true
HG03367	false
HG03380	true
HG03419	true
HG03451	false
HG03458	true
HG03490	false
HG03491	true
HG03511	true
HG03556	false
HG03563	true
HG03598	true
HG03603	false
HG03607	true
HG03636	false
HG03684	true
HG03686	false
HG03690	true
HG03731	true
HG03740	false
HG03755	false
HG03800	false
HG03815	false
HG03832	true
HG03850	false
HG03873	true
HG03897	true
HG03905	false
HG03937	true
HG03948	true
HG03973	true
HG04059	true
HG04063	true
HG04096	false
HG04099	true
HG04140	false
HG04171	true
HG04209	true
HG04210	false
HG04229	false
HG04239	false
NA07347	false
NA11918	true
NA11919	false
NA12045	false
NA12273	true
NA12342	false
NA12414	true
NA12546	false
NA12760	false
NA12878	true
NA18516	false
NA18525	true
NA18557	false
NA18565	true
NA18616	true
NA18619	true
NA18623	false
NA18631	true
NA18740	false
NA18865	false
NA18873	true
NA18874	false
NA18916	true
NA18960	false
NA18966	false
NA18975	true
NA18976	true
NA18978	true
NA18990	false
NA19060	false
NA19063	false
NA19086	false
NA19087	true
NA19096	false
NA19113	false
NA19118	true
NA19185	true
NA19209	true
NA19314	true
NA19317	false
NA19379	true
NA19390	true
NA19397	false
NA19399	true
NA19404	true
NA19446	true
NA19455	false
NA19466	false
NA19655	false
NA19670	false
NA19678	true
NA19679	false
NA19720	false
NA19764	true
NA20318	false
NA20351	false
NA20517	true
NA20518	false
NA20529	true
NA20587	true
NA20757	true
NA20798	false
NA20799	true
NA20800	true
NA20810	false
NA20826	true
NA20864	false
NA20869	true
NA20888	true
NA20910	true
NA21114	false
NA21116	false
NA21118	false
NA21133	false
NA21143	true
